shot_clock,margin,x,y,shottype,closest_def_dist,touch_time,dribble_range,value,made
18-15 Early,-4,24,1,AtRim,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,2,FALSE
22-18 Very Early,-2,-41,268,Arc3,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,3,TRUE
18-15 Early,-10,37,38,ShortMidRange,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,2,TRUE
18-15 Early,-24,-143,237,Arc3,4-6 Feet - Open,Touch 6+ Seconds,7+ Dribbles,3,FALSE
22-18 Very Early,-24,214,227,Arc3,4-6 Feet - Open,Touch 2-6 Seconds,3-6 Dribbles,3,TRUE
15-7 Average,-3,66,120,ShortMidRange,4-6 Feet - Open,Touch 6+ Seconds,7+ Dribbles,2,TRUE
22-18 Very Early,1,0,59,ShortMidRange,0-2 Feet - Very Tight,Touch 2-6 Seconds,2 Dribbles,2,FALSE
15-7 Average,4,-100,237,Arc3,4-6 Feet - Open,Touch < 2 Seconds,0 Dribbles,3,TRUE
15-7 Average,7,197,171,Arc3,4-6 Feet - Open,Touch < 2 Seconds,0 Dribbles,3,TRUE
4-0 Very Late,17,75,10,ShortMidRange,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,2,FALSE
18-15 Early,-3,183,234,Arc3,4-6 Feet - Open,Touch < 2 Seconds,0 Dribbles,3,TRUE
15-7 Average,-13,89,178,LongMidRange,0-2 Feet - Very Tight,Touch 2-6 Seconds,3-6 Dribbles,2,TRUE
18-15 Early,-16,10,31,AtRim,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,2,TRUE
15-7 Average,-15,96,11,ShortMidRange,4-6 Feet - Open,Touch < 2 Seconds,1 Dribble,2,TRUE
22-18 Very Early,-8,-211,162,Arc3,6+ Feet - Wide Open,Touch < 2 Seconds,0 Dribbles,3,TRUE
15-7 Average,-5,169,220,Arc3,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,3,TRUE
18-15 Early,-2,20,47,ShortMidRange,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,2,FALSE
7-4 Late,0,-105,110,LongMidRange,2-4 Feet - Tight,Touch 2-6 Seconds,2 Dribbles,2,FALSE
18-15 Early,-6,78,275,Arc3,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,3,TRUE
18-15 Early,-7,176,206,Arc3,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,3,TRUE
15-7 Average,-15,23,14,AtRim,2-4 Feet - Tight,Touch 2-6 Seconds,2 Dribbles,2,FALSE
15-7 Average,-1,46,119,ShortMidRange,4-6 Feet - Open,Touch 2-6 Seconds,2 Dribbles,2,TRUE
7-4 Late,-5,-192,150,Arc3,4-6 Feet - Open,Touch < 2 Seconds,0 Dribbles,3,TRUE
15-7 Average,2,13,22,AtRim,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,2,FALSE
15-7 Average,2,152,27,LongMidRange,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,2,TRUE
15-7 Average,9,-14,21,AtRim,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,2,FALSE
15-7 Average,10,25,6,AtRim,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,2,FALSE
15-7 Average,0,97,239,Arc3,4-6 Feet - Open,Touch 6+ Seconds,7+ Dribbles,3,TRUE
22-18 Very Early,3,103,165,LongMidRange,4-6 Feet - Open,Touch 6+ Seconds,7+ Dribbles,2,FALSE
15-7 Average,-3,223,69,Corner3,2-4 Feet - Tight,Touch < 2 Seconds,1 Dribble,3,TRUE
15-7 Average,2,209,166,Arc3,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,3,FALSE
15-7 Average,-2,0,10,AtRim,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,2,TRUE
18-15 Early,-1,9,-1,AtRim,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,2,FALSE
7-4 Late,7,-224,189,Arc3,2-4 Feet - Tight,Touch < 2 Seconds,1 Dribble,3,FALSE
22-18 Very Early,-1,-6,36,AtRim,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,2,TRUE
15-7 Average,4,192,195,Arc3,4-6 Feet - Open,Touch < 2 Seconds,0 Dribbles,3,FALSE
15-7 Average,9,-126,80,LongMidRange,4-6 Feet - Open,Touch 2-6 Seconds,3-6 Dribbles,2,FALSE
15-7 Average,12,-182,199,Arc3,4-6 Feet - Open,Touch 2-6 Seconds,3-6 Dribbles,3,TRUE
15-7 Average,13,2,25,AtRim,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,2,FALSE
18-15 Early,-15,-122,239,Arc3,4-6 Feet - Open,Touch 6+ Seconds,7+ Dribbles,3,TRUE
18-15 Early,-10,-2,11,AtRim,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,2,TRUE
15-7 Average,-29,-3,25,AtRim,0-2 Feet - Very Tight,Touch < 2 Seconds,0 Dribbles,2,TRUE
22-18 Very Early,-28,148,204,Arc3,0-2 Feet - Very Tight,Touch 2-6 Seconds,3-6 Dribbles,3,TRUE
18-15 Early,-32,9,34,AtRim,2-4 Feet - Tight,Touch 2-6 Seconds,1 Dribble,2,TRUE
22-18 Very Early,6,19,11,AtRim,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,2,FALSE
15-7 Average,1,-2,66,ShortMidRange,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,2,FALSE
18-15 Early,-1,3,4,AtRim,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,2,TRUE
15-7 Average,1,3,6,AtRim,4-6 Feet - Open,Touch 6+ Seconds,7+ Dribbles,2,TRUE
22-18 Very Early,-3,11,17,AtRim,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,2,TRUE
7-4 Late,-17,153,146,LongMidRange,4-6 Feet - Open,Touch 2-6 Seconds,7+ Dribbles,2,FALSE
4-0 Very Late,-16,-138,482,Arc3,4-6 Feet - Open,Touch < 2 Seconds,2 Dribbles,3,FALSE
22-18 Very Early,-21,106,249,Arc3,4-6 Feet - Open,Touch < 2 Seconds,0 Dribbles,3,TRUE
15-7 Average,11,41,241,Arc3,4-6 Feet - Open,Touch 2-6 Seconds,3-6 Dribbles,3,FALSE
